Brand,Price,Horsepower,Fuel Efficiency,Encoded Brand,scaled horsepower,scaled fuel efficiency,scaled brand,Performance Index
Brand Y,49574,279,12.2,3,0.4475,0.088,0.25,0.004013394
Brand B,39363,375,20,5,0.6875,0.4,0.5,0.006821126
Brand B,34221,332,18.5,5,0.58,0.34,0.5,0.006953333
Brand E,88438,168,24.5,2,0.17,0.58,0.125,0.001412854
Brand A,50353,369,27.8,4,0.6725,0.712,0.375,0.005295414
Brand E,63800,242,35,2,0.355,1,0.125,0.002819749
Brand B,90449,296,21,5,0.49,0.44,0.5,0.002360446
Brand B,60938,322,34.3,5,0.555,0.972,0.5,0.003867702
Brand D,33106,205,19.6,9,0.2625,0.384,1,0.004512173
Brand Y,51122,481,13.7,3,0.9525,0.148,0.25,0.006666601
Brand B,71185,307,21.6,5,0.5175,0.464,0.5,0.003109925
Brand C,75183,101,17.3,6,0.0025,0.292,0.625,0.001009404
Brand C,31727,211,13.9,6,0.2775,0.156,0.625,0.004786775
Brand D,76106,220,17.6,9,0.3,0.304,1,0.00209287
Brand D,63561,294,31.1,9,0.485,0.844,1,0.003384623
Brand W,53323,172,16.9,1,0.18,0.276,0,0.002353018
Brand E,80449,108,27.1,2,0.02,0.684,0.125,0.001040784
Brand B,91533,292,34.4,5,0.48,0.976,0.5,0.002345821
Brand X,31005,280,29.9,8,0.45,0.796,0.875,0.006610869
Brand B,76365,250,23.7,5,0.375,0.548,0.5,0.002384731
Brand E,68841,373,19.5,2,0.6825,0.38,0.125,0.003877776
Brand Z,72771,393,34.9,7,0.7325,0.996,0.75,0.003924228
Brand W,87291,308,26.2,1,0.52,0.648,0,0.002559943
Brand X,83533,127,25.5,8,0.0675,0.62,0.875,0.001155831
Brand C,56332,376,20.5,6,0.69,0.42,0.625,0.004781474
Brand E,76522,248,28.4,2,0.37,0.736,0.125,0.002379969
Brand B,38192,496,22.3,5,0.99,0.492,0.5,0.009266077
Brand C,69835,484,13.9,6,0.96,0.156,0.625,0.004911148
Brand A,70902,246,30.6,4,0.365,0.824,0.375,0.002558179
Brand C,64592,330,29.5,6,0.575,0.78,0.625,0.003713308
Brand W,75839,343,22.2,1,0.6075,0.488,0,0.003253735
Brand B,32522,492,23.1,5,0.98,0.524,0.5,0.010802841
Brand Z,36535,433,18.1,7,0.8325,0.324,0.75,0.008444779
Brand Y,88046,168,33.5,3,0.17,0.94,0.25,0.00144981
Brand A,59600,349,24.2,4,0.6225,0.568,0.375,0.004220805
Brand X,35908,182,31.9,8,0.205,0.876,0.875,0.00381447
Brand W,72974,150,33.1,1,0.125,0.924,0,0.001574945
Brand W,53806,497,19.4,1,0.9925,0.376,0,0.006573988
Brand E,54205,264,16.8,2,0.41,0.272,0.125,0.00350226
Brand E,55313,473,18.3,2,0.9325,0.332,0.125,0.006085188
Brand B,71229,359,12.9,5,0.6475,0.116,0.5,0.003582389
Brand W,66275,323,13.7,1,0.5575,0.148,0,0.003473557
Brand X,84850,188,15.8,8,0.22,0.232,0.875,0.001606836
Brand E,61812,185,33,2,0.2125,0.92,0.125,0.002255226
Brand Z,72235,253,14.3,7,0.3825,0.172,0.75,0.00251111
Brand Y,58407,387,33.1,3,0.7175,0.924,0.25,0.004808157
Brand D,80985,172,20.1,9,0.18,0.404,1,0.001561153
Brand A,40398,150,30.1,4,0.125,0.804,0.375,0.002822664
Brand C,55465,400,11.4,6,0.75,0.056,0.625,0.005109889
Brand Z,31743,186,31.5,7,0.215,0.86,0.75,0.004399395
Brand Y,77180,260,31.1,3,0.4,0.844,0.25,0.00247901
Brand E,81336,446,34.1,2,0.865,0.964,0.125,0.003964173
Brand D,42672,165,26.2,9,0.1625,0.648,1,0.002890889
Brand D,44391,285,24.8,9,0.4625,0.592,1,0.004661756
Brand W,76034,275,15.1,1,0.4375,0.204,0,0.002591341
Brand A,96484,444,28.9,4,0.86,0.756,0.375,0.003311119
Brand B,38850,456,32.3,5,0.89,0.892,0.5,0.008465637
Brand X,86932,282,32.7,8,0.455,0.908,0.875,0.002383587
Brand C,35956,333,11.6,6,0.5825,0.064,0.625,0.006579709
Brand W,86440,270,26.2,1,0.425,0.648,0,0.002277418
Brand W,75155,313,12.7,1,0.5325,0.108,0,0.002966004
Brand E,82161,188,35,2,0.22,1,0.125,0.001729531
Brand A,38930,242,20,4,0.355,0.4,0.375,0.004505523
Brand D,69829,359,28.3,9,0.6475,0.732,1,0.003720374
Brand X,45330,309,23.4,8,0.5225,0.536,0.875,0.004926539
Brand Y,35114,318,33.7,3,0.545,0.948,0.25,0.006627271
Brand X,48390,252,25.7,8,0.38,0.628,0.875,0.003804712
Brand D,99608,346,12.1,9,0.615,0.084,1,0.002467974
Brand X,91753,337,13.3,8,0.5925,0.132,0.875,0.002614519
Brand X,37796,388,10.4,8,0.72,0.016,0.875,0.007268494
Brand B,50165,366,23.7,5,0.665,0.548,0.5,0.005248879
Brand C,60479,432,24.8,6,0.83,0.592,0.625,0.005123101
Brand A,65286,201,15.9,4,0.2525,0.236,0.375,0.002228196
Brand C,95003,378,21.8,6,0.695,0.472,0.625,0.002854015
Brand Y,64309,252,23.2,3,0.38,0.528,0.25,0.002851234
Brand B,71281,152,24.1,5,0.13,0.564,0.5,0.001594113
Brand C,92767,278,15.3,6,0.445,0.212,0.625,0.002147208
Brand E,81021,486,11,2,0.965,0.04,0.125,0.004239642
Brand Y,58605,146,15.1,3,0.115,0.204,0.25,0.001821176
Brand A,66807,379,25.4,4,0.6975,0.616,0.375,0.004085201
Brand C,85904,372,11.8,6,0.68,0.072,0.625,0.0030725
Brand C,32628,416,33.3,6,0.79,0.932,0.625,0.009231029
Brand D,91079,372,17.3,9,0.68,0.292,1,0.00291604
Brand W,41076,470,24.8,1,0.925,0.592,0,0.008190671
Brand Z,60237,387,22.8,7,0.7175,0.512,0.75,0.004610787
Brand X,92877,340,34.9,8,0.6,0.996,0.875,0.002675259
Brand D,76630,422,10.8,9,0.805,0.032,1,0.003897168
Brand Z,96625,413,12.2,7,0.7825,0.088,0.75,0.003029858
Brand X,90523,361,10.5,8,0.6525,0.02,0.875,0.002826354
Brand W,58818,484,17.2,1,0.96,0.288,0,0.00584787
Brand W,64867,299,13.3,1,0.4975,0.132,0,0.003288113
Brand D,83017,291,32.8,9,0.4775,0.912,1,0.002572244
Brand A,96630,244,13.6,4,0.36,0.144,0.375,0.00180979
Brand D,70614,207,33.7,9,0.2675,0.948,1,0.002195174
Brand B,49723,295,12.6,5,0.4875,0.104,0.5,0.004229029
Brand X,43467,110,35,8,0.025,1,0.875,0.002013021
Brand B,67384,201,12.8,5,0.2525,0.112,0.5,0.00214502
Brand E,68669,202,28.3,2,0.255,0.732,0.125,0.00218279
Brand X,75586,238,26.3,8,0.345,0.652,0.875,0.002308496
Brand D,68136,172,30.2,9,0.18,0.808,1,0.001900023
Brand C,56032,329,13.8,6,0.5725,0.152,0.625,0.004184038
Brand Y,97259,314,33.2,3,0.535,0.928,0.25,0.002362352
Brand C,97974,170,20.7,6,0.175,0.428,0.625,0.001277992
Brand E,80007,218,23.6,2,0.295,0.544,0.125,0.001995825
Brand Y,42677,153,12.7,3,0.1325,0.108,0.25,0.002598824
Brand Z,63670,215,28.9,7,0.2875,0.756,0.75,0.002499921
Brand Z,37521,197,23.4,7,0.2425,0.536,0.75,0.00386237
Brand X,67829,443,28.1,8,0.8575,0.724,0.875,0.004696074
Brand A,43999,481,12.3,4,0.9525,0.092,0.375,0.007736312
Brand B,39646,452,16,5,0.88,0.24,0.5,0.0081017
Brand C,72030,305,10.5,6,0.5125,0.02,0.625,0.003007775
Brand W,54784,294,14.7,1,0.485,0.188,0,0.003837069
Brand E,89287,392,14.3,2,0.73,0.172,0.125,0.003121283
Brand B,46593,270,32.5,5,0.425,0.9,0.5,0.004265662
Brand W,88187,436,28,1,0.84,0.72,0,0.00355608
Brand E,84484,315,23.2,2,0.5375,0.528,0.125,0.002692344
Brand X,69389,372,28.4,8,0.68,0.736,0.875,0.003875542
Brand B,98972,251,16.7,5,0.3775,0.268,0.5,0.00182587
Brand E,56475,191,21.4,2,0.2275,0.456,0.125,0.002481098
Brand X,86108,369,15.1,8,0.6725,0.204,0.875,0.00305233
Brand C,38746,406,16.9,6,0.765,0.276,0.625,0.007465803
Brand Y,80184,100,30.6,3,0,0.824,0.25,0.000987479
Brand E,77171,309,28.6,2,0.5225,0.744,0.125,0.002914048
Brand D,88021,455,24.7,9,0.8875,0.588,1,0.003702639
Brand Z,77372,190,31.2,7,0.225,0.848,0.75,0.001839942
Brand D,62175,393,23.5,9,0.7325,0.54,1,0.004537998
Brand C,90777,365,27.8,6,0.6625,0.712,0.625,0.002906463
Brand E,56164,239,25.8,2,0.3475,0.632,0.125,0.003116587
Brand D,64275,270,19,9,0.425,0.36,1,0.003029172
Brand A,86236,414,33.6,4,0.785,0.944,0.375,0.003477434
Brand Z,44930,136,16.4,7,0.09,0.256,0.75,0.002228355
Brand X,95270,349,23.9,8,0.6225,0.556,0.875,0.002639551
Brand A,89794,199,11.3,4,0.2475,0.052,0.375,0.001589082
Brand D,97961,138,30,9,0.095,0.8,1,0.00107798
Brand Z,85449,356,13,7,0.64,0.12,0.75,0.002962001
Brand X,33159,473,25.3,8,0.9325,0.612,0.875,0.01021412
Brand E,60429,411,18.3,2,0.7775,0.332,0.125,0.00485181
Brand Y,41836,205,13.6,3,0.2625,0.144,0.25,0.003527584
Brand B,77828,494,33.8,5,0.985,0.952,0.5,0.004573418
Brand Z,32643,458,28.8,7,0.895,0.752,0.75,0.010086083
Brand W,71043,170,31.2,1,0.175,0.848,0,0.001806793
Brand C,76510,378,26.4,6,0.695,0.656,0.625,0.003561887
Brand W,94025,172,19.6,1,0.18,0.384,0,0.001343047
Brand B,77633,363,28.1,5,0.6575,0.724,0.5,0.00338168
Brand X,74483,167,18.5,8,0.1675,0.34,0.875,0.001643999
Brand W,33916,154,28.1,1,0.135,0.724,0,0.003426996
Brand D,79732,231,18.1,9,0.3275,0.324,1,0.002096147
Brand E,93297,215,23,2,0.2875,0.52,0.125,0.001687085
Brand B,85486,222,19.2,5,0.305,0.368,0.5,0.001885221
Brand D,84866,348,16.4,9,0.62,0.256,1,0.002928381
Brand B,91604,148,30.2,5,0.12,0.808,0.5,0.001229859
Brand C,60099,443,27.8,6,0.8575,0.712,0.625,0.005298591
Brand X,61679,207,28.8,8,0.2675,0.752,0.875,0.00248934
Brand X,90424,353,22,8,0.6325,0.48,0.875,0.002805671
Brand Z,70428,133,32.6,7,0.0825,0.904,0.75,0.001460783
Brand X,46317,300,24.9,8,0.5,0.596,0.875,0.004695252
Brand A,63079,297,31.7,4,0.4925,0.868,0.375,0.00344663
Brand D,31081,251,15.5,9,0.3775,0.22,1,0.00580258
Brand Z,97062,255,18.4,7,0.3875,0.336,0.75,0.001895902
Brand W,52316,414,10.8,1,0.785,0.032,0,0.005601346
Brand X,45251,115,12,8,0.0375,0.08,0.875,0.001858522
Brand B,68405,110,12.1,5,0.025,0.084,0.5,0.001178715
Brand C,64068,251,28.1,6,0.3775,0.724,0.625,0.002873978
Brand W,44218,397,21.5,1,0.7425,0.46,0,0.006430639
Brand Y,75729,107,12.1,3,0.0175,0.084,0.25,0.001036987
Brand D,93092,107,24.8,9,0.0175,0.592,1,0.000884501
Brand B,85346,158,23.5,5,0.145,0.54,0.5,0.001378506
Brand Y,38410,331,29.8,3,0.5775,0.792,0.25,0.006265035
Brand B,97751,390,18.3,5,0.725,0.332,0.5,0.002848973
Brand E,85010,388,14.3,2,0.72,0.172,0.125,0.003245383
Brand D,46301,294,32.8,9,0.485,0.912,1,0.004657351
Brand W,87460,344,19,1,0.61,0.36,0,0.002818431
Brand W,68975,400,13,1,0.75,0.12,0,0.004115984
Brand D,75006,414,14.7,9,0.785,0.188,1,0.003922486
Brand B,41238,216,32,5,0.29,0.88,0.5,0.003899316
Brand W,47467,473,23.5,1,0.9325,0.54,0,0.007123897
Brand Y,44422,381,31.5,3,0.7025,0.86,0.25,0.006216514
Brand Z,42930,279,11.8,7,0.4475,0.072,0.75,0.004631726
Brand D,60122,460,21,9,0.9,0.44,1,0.005460564
Brand B,66154,406,29.9,5,0.765,0.796,0.5,0.004431629
Brand W,96043,478,24.9,1,0.945,0.596,0,0.003561634
Brand D,91652,162,22,9,0.155,0.48,1,0.0013093
Brand Y,56848,114,30.5,3,0.035,0.82,0.25,0.001564699
Brand D,50394,173,13,9,0.1825,0.12,1,0.002480454
Brand C,74128,254,29.4,6,0.385,0.776,0.625,0.002517537
Brand C,73289,419,27.3,6,0.7975,0.692,0.625,0.004113714
Brand D,89075,237,17.7,9,0.3425,0.308,1,0.001922088
Brand Z,68237,222,21.8,7,0.305,0.472,0.75,0.002373199
Brand Z,58322,152,10.6,7,0.13,0.024,0.75,0.001878879
Brand Z,72416,246,25.1,7,0.365,0.604,0.75,0.00248191
Brand B,77161,376,16,5,0.69,0.24,0.5,0.003473257
Brand Z,30588,287,28.4,7,0.4675,0.736,0.75,0.006846476
Brand Y,53590,118,26.6,3,0.045,0.664,0.25,0.001690241
Brand W,79720,131,21.6,1,0.0775,0.464,0,0.00123156
Brand Y,55840,489,28.3,3,0.9725,0.732,0.25,0.006282056
Brand A,41824,346,33.8,4,0.615,0.952,0.375,0.006033378
Brand C,86170,151,27.9,6,0.1275,0.716,0.625,0.001323779
Brand C,30947,255,34.9,6,0.3875,0.996,0.625,0.006106246
Brand C,82804,306,20.7,6,0.515,0.428,0.625,0.002661828
Brand C,95145,228,18.9,6,0.32,0.356,0.625,0.001737033
Brand Z,65892,443,11.5,7,0.8575,0.06,0.75,0.004758544
Brand Z,97905,369,17.1,7,0.6725,0.284,0.75,0.00269067
Brand B,42487,473,22.4,5,0.9325,0.496,0.5,0.007951138
Brand B,34604,104,32.9,5,0.01,0.916,0.5,0.00238903
Brand B,77429,448,28.2,5,0.87,0.728,0.5,0.004159423
Brand C,80662,344,23.6,6,0.61,0.544,0.625,0.00307307
Brand E,30095,443,24.2,2,0.8575,0.568,0.125,0.010545273
Brand Z,66724,289,11.8,7,0.4725,0.072,0.75,0.003084947
Brand E,80558,404,11.5,2,0.76,0.06,0.125,0.00355334
Brand W,93145,312,33.6,1,0.53,0.944,0,0.00245295
Brand W,45332,453,16,1,0.8825,0.24,0,0.007100944
Brand C,83604,121,13.8,6,0.0525,0.152,0.625,0.001062629
Brand E,65186,211,25.1,2,0.2775,0.604,0.125,0.00238134
Brand Y,53694,459,27.8,3,0.8975,0.712,0.25,0.006139233
Brand X,34062,372,27.4,8,0.68,0.696,0.875,0.007886208
Brand B,34924,460,18.6,5,0.9,0.344,0.5,0.009379796
Brand Y,39514,445,28.6,3,0.8625,0.744,0.25,0.00810042
Brand Z,34110,461,20,7,0.9025,0.4,0.75,0.00963647
Brand Z,71939,164,33.5,7,0.16,0.94,0.75,0.001735498
Brand A,40979,474,24.8,4,0.935,0.592,0.375,0.008278386
Brand Y,46958,396,15.9,3,0.74,0.236,0.25,0.006004728
Brand Z,90222,295,12.2,7,0.4875,0.088,0.75,0.002329365
Brand E,60037,374,21.3,2,0.685,0.452,0.125,0.004467079
Brand W,40505,264,32.3,1,0.41,0.892,0,0.004801629
Brand C,99207,357,29.4,6,0.6425,0.776,0.625,0.00260788
Brand D,88173,255,32.4,9,0.3875,0.896,1,0.002134667
Brand A,99860,329,11.1,4,0.5725,0.044,0.375,0.002339575
Brand X,51005,490,20.6,8,0.975,0.424,0.875,0.006845995
Brand C,34951,254,23.1,6,0.385,0.524,0.625,0.0052854
Brand B,47995,165,20.1,5,0.1625,0.404,0.5,0.002532139
Brand E,96881,190,17.2,2,0.225,0.288,0.125,0.001426079
Brand D,66715,277,30.8,9,0.4425,0.832,1,0.003044892
Brand C,92372,358,18.1,6,0.645,0.324,0.625,0.002771727
Brand B,82910,272,14.3,5,0.43,0.172,0.5,0.002348209
Brand A,68562,453,28.5,4,0.8825,0.74,0.375,0.004749716
Brand A,75058,129,17.2,4,0.0725,0.288,0.375,0.001271816
Brand Y,84394,366,21.9,3,0.665,0.476,0.25,0.00311361
Brand Y,78424,365,17.2,3,0.6625,0.288,0.25,0.003323727
Brand B,40786,453,11.5,5,0.8825,0.06,0.5,0.007859314
Brand Z,91153,450,16.1,7,0.875,0.244,0.75,0.003508716
Brand E,65393,461,20.5,2,0.9025,0.42,0.125,0.005028826
Brand B,96597,169,13.7,5,0.1725,0.148,0.5,0.001267224
Brand Z,64441,480,23,7,0.95,0.52,0.75,0.005321146
Brand E,32497,389,15.2,2,0.7225,0.208,0.125,0.008519556
Brand Z,32890,118,10.6,7,0.045,0.024,0.75,0.002608088
Brand E,73428,357,32.3,2,0.6425,0.892,0.125,0.0035353
Brand A,77592,476,19.2,4,0.94,0.368,0.375,0.004368492
Brand D,45956,249,12.8,9,0.3725,0.112,1,0.003876316
Brand Z,85745,264,28.4,7,0.41,0.736,0.75,0.002254592
Brand W,65684,349,31.4,1,0.6225,0.856,0,0.003862737
Brand Y,67921,180,11.7,3,0.2,0.068,0.25,0.001906774
Brand D,56212,392,33.2,9,0.73,0.928,1,0.005058706
Brand Z,94740,313,32.9,7,0.5325,0.916,0.75,0.002416825
Brand C,41184,477,26.4,6,0.9425,0.656,0.625,0.008299825
Brand D,84565,204,21.5,9,0.26,0.46,1,0.001764915
Brand Z,51147,232,27.4,7,0.33,0.696,0.75,0.003335875
Brand A,60738,373,21,4,0.6825,0.44,0.375,0.004402516
Brand E,36517,281,30.3,2,0.4525,0.812,0.125,0.005635457
Brand A,83928,264,21.6,4,0.41,0.464,0.375,0.002279096
Brand X,40091,489,14.6,8,0.9725,0.184,0.875,0.008647327
Brand Z,36478,205,12.7,7,0.2625,0.108,0.75,0.004038324
Brand A,34137,183,25.6,4,0.2075,0.624,0.375,0.003977502
Brand X,52831,188,13,8,0.22,0.12,0.875,0.002564782
Brand W,44434,143,14.9,1,0.1075,0.196,0,0.002353378
Brand A,69895,451,23.7,4,0.8775,0.548,0.375,0.004618499
Brand Z,32429,439,22.1,7,0.8475,0.484,0.75,0.009680533
Brand D,92467,288,11.8,9,0.47,0.072,1,0.002218521
Brand X,48089,141,19.3,8,0.1025,0.372,0.875,0.002172846
Brand B,75505,198,18.2,5,0.245,0.328,0.5,0.001907953
Brand C,67980,168,19.1,6,0.17,0.364,0.625,0.00181421
Brand W,83066,371,12.8,1,0.6775,0.112,0,0.003172658
Brand W,66320,277,25.5,1,0.4425,0.62,0,0.003039053
Brand A,80998,123,22.1,4,0.0575,0.484,0.375,0.001144843
Brand Y,90173,459,14.1,3,0.8975,0.164,0.25,0.003610061
Brand A,58300,266,34.5,4,0.415,0.98,0.375,0.003371355
Brand Y,93846,487,31.8,3,0.9675,0.872,0.25,0.003734203
Brand D,94707,459,24,9,0.8975,0.56,1,0.003468593
Brand A,59802,381,27.5,4,0.7025,0.7,0.375,0.004597672
Brand W,38355,434,20.9,1,0.835,0.436,0,0.008084213
Brand A,62010,389,31.4,4,0.7225,0.856,0.375,0.004543138
Brand W,94323,393,16.9,1,0.7325,0.276,0,0.002970325
Brand A,85433,362,14.7,4,0.655,0.188,0.375,0.003017686
Brand W,59917,317,30.1,1,0.5425,0.804,0,0.003854165
Brand W,44468,450,29.4,1,0.875,0.776,0,0.00728209
Brand B,79601,311,13.6,5,0.5275,0.144,0.5,0.002786146
Brand E,66341,481,31.5,2,0.9525,0.86,0.125,0.005217739
Brand Y,38565,273,31.4,3,0.4325,0.856,0.25,0.005199533
Brand B,72454,235,30.7,5,0.3375,0.828,0.5,0.002397521
Brand E,58386,436,33.9,2,0.84,0.956,0.125,0.005401466
Brand X,70842,360,30.2,8,0.65,0.808,0.875,0.003685102
Brand A,54823,219,23.2,4,0.2975,0.528,0.375,0.002923226
Brand C,36700,124,22.2,6,0.06,0.488,0.625,0.002546594
Brand Z,65160,231,31.8,7,0.3275,0.872,0.75,0.002627993
Brand Z,85741,262,17.6,7,0.405,0.304,0.75,0.002200581
Brand Z,59956,108,27.7,7,0.02,0.708,0.75,0.001399526
Brand Z,52695,402,25.7,7,0.755,0.628,0.75,0.005486479
Brand Y,59104,182,13.5,3,0.205,0.14,0.25,0.002224046
Brand C,58018,275,33.8,6,0.4375,0.952,0.625,0.003492709
Brand Y,83105,213,20.6,3,0.2825,0.424,0.25,0.00186848
Brand W,57816,357,23.2,1,0.6425,0.528,0,0.004442715
Brand A,61036,140,24.2,4,0.1,0.568,0.375,0.001724556
Brand C,81433,182,23.7,6,0.205,0.548,0.625,0.001651787
Brand Z,42021,297,32.1,7,0.4925,0.884,0.75,0.005176697
Brand X,82015,384,28.9,8,0.71,0.756,0.875,0.003383162
Brand E,92423,398,18.9,2,0.745,0.356,0.125,0.00307575
Brand E,44282,496,12.5,2,0.99,0.1,0.125,0.007925342
Brand B,59084,392,33.7,5,0.73,0.948,0.5,0.004815348
Brand C,53285,498,19.8,6,0.995,0.392,0.625,0.006653655
Brand C,32263,311,13.5,6,0.5275,0.14,0.625,0.006873198
Brand X,54647,268,22.6,8,0.42,0.504,0.875,0.003557011
Brand Z,83292,400,14.7,7,0.75,0.188,0.75,0.003414614
Brand C,53035,332,20.1,6,0.58,0.404,0.625,0.00449571
Brand A,31857,440,20.6,4,0.85,0.424,0.375,0.009862197
Brand Y,44968,260,13.9,3,0.4,0.156,0.25,0.004140055
Brand D,52948,480,31.8,9,0.95,0.872,1,0.006526026
Brand Z,40223,336,33.9,7,0.59,0.956,0.75,0.006100241
Brand D,86558,239,12.7,9,0.3475,0.108,1,0.001976825
Brand W,98158,385,11.3,1,0.7125,0.052,0,0.00278011
Brand X,76603,464,33.4,8,0.91,0.936,0.875,0.004370847
Brand E,43802,253,12,2,0.3825,0.08,0.125,0.004125382
Brand D,97978,345,13.3,9,0.6125,0.132,1,0.002505562
Brand W,85551,469,15.2,1,0.9225,0.208,0,0.003890779
Brand Z,30660,165,33.3,7,0.1625,0.932,0.75,0.004092955
Brand W,36129,112,25.6,1,0.03,0.624,0,0.002382574
Brand D,83483,259,32.3,9,0.3975,0.892,1,0.002287771
Brand D,60197,273,32.9,9,0.4325,0.916,1,0.003338538
Brand Y,54940,369,24.3,3,0.6725,0.572,0.25,0.004834183
Brand B,43593,155,21.3,5,0.1375,0.452,0.5,0.002635515
Brand A,42924,351,19.6,4,0.6275,0.384,0.375,0.005861057
Brand D,94263,155,13.6,9,0.1375,0.144,1,0.001194318
Brand E,55052,302,26.5,2,0.505,0.66,0.125,0.003984415
Brand C,81771,259,25.6,6,0.3975,0.624,0.625,0.002311088
Brand C,87282,279,18.1,6,0.4475,0.324,0.625,0.002299787
Brand Z,75810,318,21.9,7,0.545,0.476,0.75,0.003022952
Brand Y,55549,301,28.1,3,0.5025,0.724,0.25,0.003944805
Brand Z,89167,401,22.2,7,0.7525,0.488,0.75,0.003222717
Brand B,35427,458,10.9,5,0.895,0.036,0.5,0.009141897
Brand B,43226,331,30.3,5,0.5775,0.812,0.5,0.00557049
Brand C,87089,244,17.6,6,0.36,0.304,0.625,0.00202184
Brand B,76666,206,34.2,5,0.265,0.968,0.5,0.002014713
Brand W,43873,101,16.3,1,0.0025,0.252,0,0.001722928
Brand Y,40489,362,12.7,3,0.655,0.108,0.25,0.00635259
Brand W,33376,399,19.6,1,0.7475,0.384,0,0.008544463
Brand A,47583,117,19.9,4,0.0425,0.396,0.375,0.001846668
Brand W,37124,233,32.3,1,0.3325,0.892,0,0.004654401
Brand Z,79096,435,11,7,0.8375,0.04,0.75,0.003891474
Brand W,90471,230,28.1,1,0.325,0.724,0,0.001872755
Brand C,33751,204,14.1,6,0.26,0.164,0.625,0.004356315
Brand W,36621,200,14.2,1,0.25,0.168,0,0.00393927
Brand E,60993,182,29.5,2,0.205,0.78,0.125,0.002233863
Brand D,31850,228,15.6,9,0.32,0.224,1,0.005157928
Brand Y,43658,105,25.1,3,0.0125,0.604,0.25,0.001856017
Brand E,64735,497,29.8,2,0.9925,0.792,0.125,0.005512319
Brand B,94842,458,18.6,5,0.895,0.344,0.5,0.003439194
Brand X,42909,431,15.2,8,0.8275,0.208,0.875,0.00713743
Brand B,61557,427,22.7,5,0.8175,0.508,0.5,0.004966291
Brand A,90233,416,19.7,4,0.79,0.388,0.375,0.003292698
Brand D,32535,311,28.1,9,0.5275,0.724,1,0.006950361
Brand W,30554,140,29.7,1,0.1,0.788,0,0.003499051
Brand Z,89387,305,34.4,7,0.5125,0.976,0.75,0.002503944
Brand E,69573,163,26.9,2,0.1575,0.676,0.125,0.001755997
Brand Z,89570,328,21.2,7,0.57,0.448,0.75,0.002634364
Brand B,43003,428,27.5,5,0.82,0.7,0.5,0.007158803
Brand A,30690,368,29.4,4,0.67,0.776,0.375,0.008681004
Brand C,42398,389,13.9,6,0.7225,0.156,0.625,0.006520826
Brand A,94948,331,17.1,4,0.5775,0.284,0.375,0.002494313
Brand Z,40921,326,15.4,7,0.565,0.216,0.75,0.005689499
Brand Z,95156,320,23.8,7,0.55,0.552,0.75,0.002429064
Brand Z,43136,240,16.3,7,0.35,0.252,0.75,0.004008021
Brand X,60960,196,19.7,8,0.24,0.388,0.875,0.002347605
Brand Z,94125,182,20.5,7,0.205,0.42,0.75,0.001418858
Brand X,95901,225,28.9,8,0.3125,0.756,0.875,0.001732724
Brand Y,32801,366,13.9,3,0.665,0.156,0.25,0.007937868
Brand W,36445,332,20.1,1,0.58,0.404,0,0.006542187
Brand C,32929,101,11.8,6,0.0025,0.072,0.625,0.002254548
Brand X,65531,470,23.6,8,0.925,0.544,0.875,0.005128565
Brand C,68116,148,27.9,6,0.12,0.716,0.625,0.001643813
Brand Y,69421,108,21.8,3,0.02,0.472,0.25,0.001183215
Brand E,56169,412,26.1,2,0.78,0.644,0.125,0.005273906
Brand C,75646,128,27.2,6,0.07,0.688,0.625,0.001292335
Brand Y,35355,363,11.7,3,0.6575,0.068,0.25,0.007286381
Brand Z,81405,463,10.6,7,0.9075,0.024,0.75,0.004020392
Brand Y,50812,211,22.2,3,0.2775,0.488,0.25,0.003037865
Brand B,53564,371,25.3,5,0.6775,0.612,0.5,0.004990105
Brand Z,89107,310,10.7,7,0.525,0.028,0.75,0.002471299
Brand W,74280,403,10.5,1,0.7575,0.02,0,0.003840199
Brand A,94593,470,22.4,4,0.925,0.496,0.375,0.0035491
Brand D,52875,383,31.2,9,0.7075,0.848,1,0.00524747
Brand D,95508,158,34.3,9,0.145,0.972,1,0.001265758
Brand C,47880,439,22.1,6,0.8475,0.484,0.625,0.0065566
Brand C,72948,476,24.2,6,0.94,0.568,0.625,0.00466716
Brand Y,46502,178,26.1,3,0.195,0.644,0.25,0.002847835
Brand X,91149,293,23.1,8,0.4825,0.524,0.875,0.002326191
Brand A,30395,179,16,4,0.1975,0.24,0.375,0.004280309
Brand D,78703,253,17.6,9,0.3825,0.304,1,0.00231732
Brand W,39284,357,33.5,1,0.6425,0.94,0,0.006617198
Brand D,89694,325,22.9,9,0.5625,0.516,1,0.002612995
Brand W,95159,440,19.5,1,0.85,0.38,0,0.003298164
Brand A,35612,119,22.8,4,0.0475,0.512,0.375,0.002531169
Brand Y,85586,341,19.8,3,0.6025,0.392,0.25,0.002858411
Brand C,33808,347,10.3,6,0.6175,0.012,0.625,0.007276088
Brand C,42724,153,23.2,6,0.1325,0.528,0.625,0.002669694
Brand E,88028,414,33.2,2,0.785,0.928,0.125,0.00340528
Brand W,81010,462,27.5,1,0.905,0.7,0,0.004093939
Brand E,45484,443,26.8,2,0.8575,0.672,0.125,0.006994548
Brand B,53221,148,30.4,5,0.12,0.816,0.5,0.002117961
Brand W,98812,130,17.9,1,0.075,0.316,0,0.000975286
Brand Z,33076,369,30.9,7,0.6725,0.836,0.75,0.008089551
Brand X,41069,278,20.8,8,0.445,0.432,0.875,0.004890307
